A1BG	58864865	1.21994	0.0407079	0.63032395
AAAS	53715412	10.8029	0.671096	5.736998
AACS	125549912	0.656727	0.730409	0.693568
AAED1	99417599	2.04451	2.68989	2.3672
AAGAB	67547074	1.26741	1.5993	1.433355
AAK1	69870977	1.21265	1.248	1.2303250000000001
AAMP	219134932	3.06041	1.39483	2.22762
AARS2	44281063	1.07771	1.01622	1.046965
AARSD1	41116515	1.81495	1.86151	1.83823
AASDHPPT	105948291	1.86594	1.60605	1.735995
AATF	35306174	2.45754	2.46964	2.46359
ABCA1	107690527	0.274165	0.271769	0.27296699999999996
ABCA5	67311774	0.341491	0.556392	0.4489415
ABCB6	220083712	1.45864	1.20981	1.334225
ABCE1	146019155	4.26389	3.81309	4.0384899999999995
ABCF3	183903862	1.17303	1.22424	1.198635
ABHD10	111697722	2.43654	2.0975	2.26702
ABHD14A-ACY1	52009041	0.0438019	0.00983959	0.026820745
ABHD14A	52009041	3.0131	3.58652	3.29981
ABHD17A	1885518	0.699756	1.579	1.139378
ABHD2	89631380	2.1482	1.34977	1.748985
ABHD4	23067146	5.18805	3.95927	4.57366
ABI1	27150016	1.28869	1.58898	1.438835
ABI3BP	100712334	0.0262781	0.0160912	0.02118465
ABRACL	139349818	1.14394	2.37926	1.7616
ABT1	26597170	18.4885	15.4991	16.9938
ACAA1	38178733	1.86679	2.06101	1.9639
ACAA2	47340251	0.849195	0.818567	0.8338810000000001
ACAD10	112123856	2.50041	1.14833	1.82437
ACAD11	132378975	0.638644	0.581621	0.6101325
ACAD8	134123433	0.214537	0.679363	0.44695
ACAD9	128598332	1.17234	1.09458	1.13346
ACADM	76190031	0.979135	1.16243	1.0707825
ACAP1	7239847	0.295844	0.482995	0.38941950000000003
ACAP2	195163817	1.52528	1.36917	1.447225
ACAT1	107992257	1.76472	1.54083	1.652775
ACBD3	226374423	1.8709	2.08814	1.97952
ACBD6	180472022	3.05522	2.84277	2.948995
ACD	67694718	2.85472	2.30169	2.5782049999999996
ACER2	19408924	1.03079	0.575554	0.803172
ACER3	76571916	1.11236	1.02607	1.069215
ACIN1	23540779	3.97185	3.62753	3.79969
ACO1	32384600	0.899992	0.763431	0.8317114999999999
ACO2	41865128	0.876926	0.804174	0.84055
ACOT2	74035762	1.64044	7.56519	4.602815
ACOT8	44486048	0.522798	0.512758	0.5177780000000001
ACOX3	8442452	0.616154	1.34111	0.978632
ACPT	51293671	0.147211	0.00200475	0.074607875
ACRBP	6756580	0.0483447	0.0541813	0.051263
ACSL3	223725731	8.27752	7.4961	7.8868100000000005
ACTA2	90751154	0.807637	0.552797	0.6802170000000001
ACTL6A	179280667	1.55768	0.886123	1.2219015
ACTN4	39138255	18.9783	14.1441	16.5612
ACTR10	58666832	1.20302	1.15026	1.17664
ACTR1A	104262512	1.50348	1.17893	1.341205
ACTR2	65454828	7.62214	7.49641	7.5592749999999995
ACTR5	37377096	0.571895	0.425792	0.4988435
ACTR6	100594554	3.55876	3.50927	3.534015
ACTR8	53916229	1.36095	1.27698	1.318965
ACVR1B	52347163	0.558654	0.470017	0.5143355000000001
ACVR2B	38495789	0.592674	0.448628	0.520651
ADAM10	59042177	8.82185	3.6517	6.236775
ADAM17	9695949	4.20148	3.72263	3.9620550000000003
ADAM20	71001732	0.953332	1.01486	0.9840960000000001
ADAM23	207308367	0.0680805	0.266645	0.16736275
ADAM32	38965047	0.0270946	0.0752933	0.051193949999999995
ADAT1	75657221	1.48494	1.39412	1.43953
ADAT3	1905212	0.121157	4.39421	2.2576835
ADCY10	167883464	0.467592	0.388963	0.4282775
ADCY3	25142886	0.572122	0.182698	0.37741
ADCY9	4166186	0.521024	0.492134	0.506579
ADD3	111767693	0.482919	0.431018	0.4569685
ADGRA3	22517677	0.702674	0.728922	0.7157979999999999
ADGRE3	14785730	0.00385732	0.00305219	0.0034547550000000003
ADGRE5	14491955	0.410484	0.123	0.26674200000000003
ADH5	100009939	3.86605	3.75331	3.80968
ADHFE1	67344717	1.1039	0.903127	1.0035135
ADNP2	77866914	2.70975	2.10715	2.40845
ADPGK	73076126	3.32637	3.19741	3.26189
ADPRHL2	36554452	0.908907	0.623594	0.7662505
ADPRM	10600926	3.80145	3.03158	3.416515
ADRA1D	4229659	1.11219	1.17846	1.1453250000000001
ADRM1	60877951	1.79834	1.54413	1.671235
ADSL	40742503	1.6973	1.26251	1.479905
AEBP2	19593514	1.75176	3.45131	2.601535
AEN	89164526	12.6017	12.2232	12.41245
AFF4	132299354	4.36355	4.65794	4.510745
AFG3L2	12377275	1.23945	0.638045	0.9387475
AFTPH	64751438	2.25518	2.00842	2.1318
